filename,xmin,ymin,xmax,ymax
OC01_R_10s_lowfps.mp4,556,470,940,931
OC01_R_10s_lowfps.mp4,556,466,937,932
OC01_R_10s_lowfps.mp4,558,459,941,930
OC01_R_10s_lowfps.mp4,559,457,938,925
OC01_R_10s_lowfps.mp4,552,460,940,929
OC01_R_10s_lowfps.mp4,553,466,937,932
OC01_R_10s_lowfps.mp4,546,478,939,941
OC01_R_10s_lowfps.mp4,544,475,939,941
OC01_R_10s_lowfps.mp4,556,462,942,934
OC01_R_10s_lowfps.mp4,538,436,950,932
OC01_R_10s_lowfps.mp4,532,408,937,956
OC01_R_10s_lowfps.mp4,545,404,931,943
OC01_R_10s_lowfps.mp4,554,400,929,896
OC01_R_10s_lowfps.mp4,540,389,943,940
OC01_R_10s_lowfps.mp4,527,393,964,957
OC01_R_10s_lowfps.mp4,554,400,964,926
OC01_R_10s_lowfps.mp4,574,429,965,922
OC01_R_10s_lowfps.mp4,580,413,964,922
OC01_R_10s_lowfps.mp4,562,398,960,914
OC01_R_10s_lowfps.mp4,518,373,946,897
OC01_R_10s_lowfps.mp4,555,347,937,864
OC01_R_10s_lowfps.mp4,567,337,941,864
OC01_R_10s_lowfps.mp4,562,344,955,872
OC01_R_10s_lowfps.mp4,563,341,956,868
OC01_R_10s_lowfps.mp4,551,357,1001,922
OC01_R_10s_lowfps.mp4,590,400,964,921
OC01_R_10s_lowfps.mp4,583,426,963,919
OC01_R_10s_lowfps.mp4,579,431,960,925
OC01_R_10s_lowfps.mp4,520,408,955,955
OC01_R_10s_lowfps.mp4,506,397,931,922
OC01_R_10s_lowfps.mp4,538,397,908,869
OC01_R_10s_lowfps.mp4,542,392,909,869
OC01_R_10s_lowfps.mp4,510,392,911,869
OC01_R_10s_lowfps.mp4,522,401,961,935
OC01_R_10s_lowfps.mp4,557,443,953,932
OC01_R_10s_lowfps.mp4,554,436,945,919
OC01_R_10s_lowfps.mp4,539,418,957,915
OC01_R_10s_lowfps.mp4,503,381,934,898
OC01_R_10s_lowfps.mp4,536,364,924,868
OC01_R_10s_lowfps.mp4,546,357,930,867
OC01_R_10s_lowfps.mp4,543,353,943,878
OC01_R_10s_lowfps.mp4,503,373,981,917
OC01_R_10s_lowfps.mp4,560,393,967,918
OC01_R_10s_lowfps.mp4,561,417,959,923
OC01_R_10s_lowfps.mp4,550,394,960,924
