,name,finger_x,finger_y,thumb_x,thumb_y
0,labeled-data\OC01_R_10s_lowfps\img000.png,527.4350875002558,643.7531567340673,568.1252163803956,694.9439640348885
1,labeled-data\OC01_R_10s_lowfps\img001.png,535.0727680391351,643.3545454545455,567.283288219227,691.0113908829326
2,labeled-data\OC01_R_10s_lowfps\img002.png,533.8119957945466,637.6575819942726,567.9467998369339,693.2724909139123
3,labeled-data\OC01_R_10s_lowfps\img003.png,527.3242287754706,636.6577147639523,567.4847181738656,691.8783876867456
4,labeled-data\OC01_R_10s_lowfps\img004.png,528.1690440475099,636.9750378969284,567.4314491072942,691.4357933024354
5,labeled-data\OC01_R_10s_lowfps\img005.png,529.1694754590175,639.0952077701565,567.1653513233246,694.8224923711404
6,labeled-data\OC01_R_10s_lowfps\img006.png,526.6759126296342,643.2063615386747,562.2365982680926,694.7080441874766
7,labeled-data\OC01_R_10s_lowfps\img007.png,525.352766700644,648.7109277002528,567.631814026019,699.2109008944502
8,labeled-data\OC01_R_10s_lowfps\img008.png,529.7009715574236,639.1896217647285,569.1245712420866,693.3970713311401
9,labeled-data\OC01_R_10s_lowfps\img009.png,527.6609470759902,600.2091921594647,560.4755671406192,707.8411459714478
10,labeled-data\OC01_R_10s_lowfps\img010.png,579.46762434744,475.4735675356905,517.1543879299761,828.0752955564616
11,labeled-data\OC01_R_10s_lowfps\img011.png,600.3202733904009,466.8536849702923,512.5267723402969,868.4010094453574
12,labeled-data\OC01_R_10s_lowfps\img012.png,602.4719913544984,458.1846380443061,511.0976668517281,885.5806720088773
13,labeled-data\OC01_R_10s_lowfps\img013.png,595.1360613964414,460.4448169631432,510.8543003883416,883.2352902168892
14,labeled-data\OC01_R_10s_lowfps\img014.png,564.192067533351,480.2395168982699,511.878654809266,843.7506668528082
15,labeled-data\OC01_R_10s_lowfps\img015.png,531.8836791881541,627.024954259226,560.536023760375,699.338014370069
16,labeled-data\OC01_R_10s_lowfps\img016.png,556.5617443777071,669.4978956905263,582.3528843583276,699.1577066682399
17,labeled-data\OC01_R_10s_lowfps\img017.png,561.1659781113525,654.2679972539343,583.2841834250901,688.0958406749448
18,labeled-data\OC01_R_10s_lowfps\img018.png,535.0656956249686,632.768088465625,564.8867012275612,693.90114995094
19,labeled-data\OC01_R_10s_lowfps\img019.png,531.2095373606317,508.9871965772048,520.380712739304,829.0391242742195
20,labeled-data\OC01_R_10s_lowfps\img020.png,586.1832917813404,433.3509941354658,528.1532268249439,862.7734748127999
21,labeled-data\OC01_R_10s_lowfps\img021.png,597.1735413055824,419.43321994538815,532.8108303718013,857.9977386337101
22,labeled-data\OC01_R_10s_lowfps\img022.png,620.3909788219762,406.3531972486095,539.3561381150083,848.0725250238465
