,filename,xmin,ymin,xmax,ymax,x_centre,y_centre,x_centre_avg,y_centre_avg,new_xmin,new_ymin
0,OC01_R_10s_lowfps.mp4,556,470,940,931,748.0,700.5,728.0,641.0,338.0,170.0
1,OC01_R_10s_lowfps.mp4,556,466,937,932,746.5,699.0,728.0,641.0,338.0,170.0
2,OC01_R_10s_lowfps.mp4,558,459,941,930,749.5,694.5,728.0,641.0,338.0,170.0
3,OC01_R_10s_lowfps.mp4,559,457,938,925,748.5,691.0,728.0,641.0,338.0,170.0
4,OC01_R_10s_lowfps.mp4,552,460,940,929,746.0,694.5,728.0,641.0,338.0,170.0
5,OC01_R_10s_lowfps.mp4,553,466,937,932,745.0,699.0,728.0,641.0,338.0,170.0
6,OC01_R_10s_lowfps.mp4,546,478,939,941,742.5,709.5,728.0,641.0,338.0,170.0
7,OC01_R_10s_lowfps.mp4,544,475,939,941,741.5,708.0,728.0,641.0,338.0,170.0
8,OC01_R_10s_lowfps.mp4,556,462,942,934,749.0,698.0,728.0,641.0,338.0,170.0
9,OC01_R_10s_lowfps.mp4,538,436,950,932,744.0,684.0,728.0,641.0,338.0,170.0
10,OC01_R_10s_lowfps.mp4,532,408,937,956,734.5,682.0,728.0,641.0,338.0,170.0
11,OC01_R_10s_lowfps.mp4,545,404,931,943,738.0,673.5,728.0,641.0,338.0,170.0
12,OC01_R_10s_lowfps.mp4,554,400,929,896,741.5,648.0,728.0,641.0,338.0,170.0
13,OC01_R_10s_lowfps.mp4,540,389,943,940,741.5,664.5,728.0,641.0,338.0,170.0
15,OC01_R_10s_lowfps.mp4,554,400,964,926,759.0,663.0,728.0,641.0,338.0,170.0
16,OC01_R_10s_lowfps.mp4,574,429,965,922,769.5,675.5,728.0,641.0,338.0,170.0
18,OC01_R_10s_lowfps.mp4,562,398,960,914,761.0,656.0,728.0,641.0,338.0,170.0
19,OC01_R_10s_lowfps.mp4,518,373,946,897,732.0,635.0,728.0,641.0,338.0,170.0
20,OC01_R_10s_lowfps.mp4,555,347,937,864,746.0,605.5,728.0,641.0,338.0,170.0
21,OC01_R_10s_lowfps.mp4,567,337,941,864,754.0,600.5,728.0,641.0,338.0,170.0
22,OC01_R_10s_lowfps.mp4,562,344,955,872,758.5,608.0,728.0,641.0,338.0,170.0
23,OC01_R_10s_lowfps.mp4,563,341,956,868,759.5,604.5,728.0,641.0,338.0,170.0
28,OC01_R_10s_lowfps.mp4,520,408,955,955,737.5,681.5,728.0,641.0,338.0,170.0
29,OC01_R_10s_lowfps.mp4,506,397,931,922,718.5,659.5,728.0,641.0,338.0,170.0
30,OC01_R_10s_lowfps.mp4,538,397,908,869,723.0,633.0,728.0,641.0,338.0,170.0
31,OC01_R_10s_lowfps.mp4,542,392,909,869,725.5,630.5,728.0,641.0,338.0,170.0
32,OC01_R_10s_lowfps.mp4,510,392,911,869,710.5,630.5,728.0,641.0,338.0,170.0
33,OC01_R_10s_lowfps.mp4,522,401,961,935,741.5,668.0,728.0,641.0,338.0,170.0
34,OC01_R_10s_lowfps.mp4,557,443,953,932,755.0,687.5,728.0,641.0,338.0,170.0
35,OC01_R_10s_lowfps.mp4,554,436,945,919,749.5,677.5,728.0,641.0,338.0,170.0
36,OC01_R_10s_lowfps.mp4,539,418,957,915,748.0,666.5,728.0,641.0,338.0,170.0
37,OC01_R_10s_lowfps.mp4,503,381,934,898,718.5,639.5,728.0,641.0,338.0,170.0
38,OC01_R_10s_lowfps.mp4,536,364,924,868,730.0,616.0,728.0,641.0,338.0,170.0
39,OC01_R_10s_lowfps.mp4,546,357,930,867,738.0,612.0,728.0,641.0,338.0,170.0
40,OC01_R_10s_lowfps.mp4,543,353,943,878,743.0,615.5,728.0,641.0,338.0,170.0
41,OC01_R_10s_lowfps.mp4,503,373,981,917,742.0,645.0,728.0,641.0,338.0,170.0
42,OC01_R_10s_lowfps.mp4,560,393,967,918,763.5,655.5,728.0,641.0,338.0,170.0
43,OC01_R_10s_lowfps.mp4,561,417,959,923,760.0,670.0,728.0,641.0,338.0,170.0
44,OC01_R_10s_lowfps.mp4,550,394,960,924,755.0,659.0,728.0,641.0,338.0,170.0
45,OC01_R_10s_lowfps.mp4,494,368,949,912,721.5,640.0,728.0,641.0,338.0,170.0
46,OC01_R_10s_lowfps.mp4,525,361,907,853,716.0,607.0,728.0,641.0,338.0,170.0
47,OC01_R_10s_lowfps.mp4,543,354,915,867,729.0,610.5,728.0,641.0,338.0,170.0
48,OC01_R_10s_lowfps.mp4,542,368,911,864,726.5,616.0,728.0,641.0,338.0,170.0
49,OC01_R_10s_lowfps.mp4,505,381,932,875,718.5,628.0,728.0,641.0,338.0,170.0
50,OC01_R_10s_lowfps.mp4,501,411,972,953,736.5,682.0,728.0,641.0,338.0,170.0
51,OC01_R_10s_lowfps.mp4,549,468,956,933,752.5,700.5,728.0,641.0,338.0,170.0
52,OC01_R_10s_lowfps.mp4,558,427,949,918,753.5,672.5,728.0,641.0,338.0,170.0
53,OC01_R_10s_lowfps.mp4,509,384,952,919,730.5,651.5,728.0,641.0,338.0,170.0
54,OC01_R_10s_lowfps.mp4,508,344,923,861,715.5,602.5,728.0,641.0,338.0,170.0
55,OC01_R_10s_lowfps.mp4,540,326,934,870,737.0,598.0,728.0,641.0,338.0,170.0
56,OC01_R_10s_lowfps.mp4,540,322,950,872,745.0,597.0,728.0,641.0,338.0,170.0
57,OC01_R_10s_lowfps.mp4,507,325,947,870,727.0,597.5,728.0,641.0,338.0,170.0
60,OC01_R_10s_lowfps.mp4,559,409,965,898,762.0,653.5,728.0,641.0,338.0,170.0
61,OC01_R_10s_lowfps.mp4,502,354,947,872,724.5,613.0,728.0,641.0,338.0,170.0
62,OC01_R_10s_lowfps.mp4,516,348,952,856,734.0,602.0,728.0,641.0,338.0,170.0
63,OC01_R_10s_lowfps.mp4,545,344,932,866,738.5,605.0,728.0,641.0,338.0,170.0
64,OC01_R_10s_lowfps.mp4,537,333,938,862,737.5,597.5,728.0,641.0,338.0,170.0
66,OC01_R_10s_lowfps.mp4,565,389,971,908,768.0,648.5,728.0,641.0,338.0,170.0
67,OC01_R_10s_lowfps.mp4,555,388,969,913,762.0,650.5,728.0,641.0,338.0,170.0
68,OC01_R_10s_lowfps.mp4,542,379,960,911,751.0,645.0,728.0,641.0,338.0,170.0
69,OC01_R_10s_lowfps.mp4,499,332,963,890,731.0,611.0,728.0,641.0,338.0,170.0
70,OC01_R_10s_lowfps.mp4,526,311,920,848,723.0,579.5,728.0,641.0,338.0,170.0
71,OC01_R_10s_lowfps.mp4,540,309,931,866,735.5,587.5,728.0,641.0,338.0,170.0
72,OC01_R_10s_lowfps.mp4,526,300,939,856,732.5,578.0,728.0,641.0,338.0,170.0
73,OC01_R_10s_lowfps.mp4,500,345,967,892,733.5,618.5,728.0,641.0,338.0,170.0
74,OC01_R_10s_lowfps.mp4,554,392,976,908,765.0,650.0,728.0,641.0,338.0,170.0
75,OC01_R_10s_lowfps.mp4,551,409,974,908,762.5,658.5,728.0,641.0,338.0,170.0
76,OC01_R_10s_lowfps.mp4,518,377,961,909,739.5,643.0,728.0,641.0,338.0,170.0
77,OC01_R_10s_lowfps.mp4,495,321,946,874,720.5,597.5,728.0,641.0,338.0,170.0
78,OC01_R_10s_lowfps.mp4,519,328,917,844,718.0,586.0,728.0,641.0,338.0,170.0
79,OC01_R_10s_lowfps.mp4,519,338,923,862,721.0,600.0,728.0,641.0,338.0,170.0
80,OC01_R_10s_lowfps.mp4,484,348,968,911,726.0,629.5,728.0,641.0,338.0,170.0
81,OC01_R_10s_lowfps.mp4,537,409,967,916,752.0,662.5,728.0,641.0,338.0,170.0
82,OC01_R_10s_lowfps.mp4,529,442,939,912,734.0,677.0,728.0,641.0,338.0,170.0
83,OC01_R_10s_lowfps.mp4,526,436,935,910,730.5,673.0,728.0,641.0,338.0,170.0
84,OC01_R_10s_lowfps.mp4,483,390,928,916,705.5,653.0,728.0,641.0,338.0,170.0
85,OC01_R_10s_lowfps.mp4,501,361,899,832,700.0,596.5,728.0,641.0,338.0,170.0
86,OC01_R_10s_lowfps.mp4,519,346,912,840,715.5,593.0,728.0,641.0,338.0,170.0
87,OC01_R_10s_lowfps.mp4,515,349,900,834,707.5,591.5,728.0,641.0,338.0,170.0
88,OC01_R_10s_lowfps.mp4,473,390,962,928,717.5,659.0,728.0,641.0,338.0,170.0
89,OC01_R_10s_lowfps.mp4,523,446,935,904,729.0,675.0,728.0,641.0,338.0,170.0
90,OC01_R_10s_lowfps.mp4,514,440,934,926,724.0,683.0,728.0,641.0,338.0,170.0
91,OC01_R_10s_lowfps.mp4,488,441,932,931,710.0,686.0,728.0,641.0,338.0,170.0
92,OC01_R_10s_lowfps.mp4,488,395,908,862,698.0,628.5,728.0,641.0,338.0,170.0
93,OC01_R_10s_lowfps.mp4,511,352,907,837,709.0,594.5,728.0,641.0,338.0,170.0
94,OC01_R_10s_lowfps.mp4,508,335,922,844,715.0,589.5,728.0,641.0,338.0,170.0
96,OC01_R_10s_lowfps.mp4,507,467,958,918,732.5,692.5,728.0,641.0,338.0,170.0
97,OC01_R_10s_lowfps.mp4,507,422,940,927,723.5,674.5,728.0,641.0,338.0,170.0
98,OC01_R_10s_lowfps.mp4,491,486,923,918,707.0,702.0,728.0,641.0,338.0,170.0
99,OC01_R_10s_lowfps.mp4,473,379,928,888,700.5,633.5,728.0,641.0,338.0,170.0
100,OC01_R_10s_lowfps.mp4,501,340,923,861,712.0,600.5,728.0,641.0,338.0,170.0
101,OC01_R_10s_lowfps.mp4,525,346,918,850,721.5,598.0,728.0,641.0,338.0,170.0
102,OC01_R_10s_lowfps.mp4,512,350,919,841,715.5,595.5,728.0,641.0,338.0,170.0
103,OC01_R_10s_lowfps.mp4,477,402,929,921,703.0,661.5,728.0,641.0,338.0,170.0
104,OC01_R_10s_lowfps.mp4,508,443,931,905,719.5,674.0,728.0,641.0,338.0,170.0
105,OC01_R_10s_lowfps.mp4,508,435,932,920,720.0,677.5,728.0,641.0,338.0,170.0
107,OC01_R_10s_lowfps.mp4,493,377,897,854,695.0,615.5,728.0,641.0,338.0,170.0
108,OC01_R_10s_lowfps.mp4,506,359,906,834,706.0,596.5,728.0,641.0,338.0,170.0
109,OC01_R_10s_lowfps.mp4,508,338,903,824,705.5,581.0,728.0,641.0,338.0,170.0
110,OC01_R_10s_lowfps.mp4,449,366,944,882,696.5,624.0,728.0,641.0,338.0,170.0
111,OC01_R_10s_lowfps.mp4,502,439,939,906,720.5,672.5,728.0,641.0,338.0,170.0
112,OC01_R_10s_lowfps.mp4,494,427,941,917,717.5,672.0,728.0,641.0,338.0,170.0
113,OC01_R_10s_lowfps.mp4,498,471,931,909,714.5,690.0,728.0,641.0,338.0,170.0
114,OC01_R_10s_lowfps.mp4,485,410,946,929,715.5,669.5,728.0,641.0,338.0,170.0
115,OC01_R_10s_lowfps.mp4,487,342,939,880,713.0,611.0,728.0,641.0,338.0,170.0
116,OC01_R_10s_lowfps.mp4,509,350,918,867,713.5,608.5,728.0,641.0,338.0,170.0
117,OC01_R_10s_lowfps.mp4,483,347,953,887,718.0,617.0,728.0,641.0,338.0,170.0
118,OC01_R_10s_lowfps.mp4,504,482,939,901,721.5,691.5,728.0,641.0,338.0,170.0
119,OC01_R_10s_lowfps.mp4,500,437,938,902,719.0,669.5,728.0,641.0,338.0,170.0
120,OC01_R_10s_lowfps.mp4,509,475,928,907,718.5,691.0,728.0,641.0,338.0,170.0
